ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
リッチ,リッチモンドホテル 札幌駅前,札幌市中央区北３条西１丁目１−７,
リッチ,リッチモンドホテル札幌大通,札幌市中央区南２条西４丁目４−１,南２条通南側
リブ,リブマックス ホステルズ札幌すすきの,札幌市中央区南7条西６丁目1-1,南７条通り北側東角
リブ,ホテルリブマックス 札幌すすきの,札幌市中央区南７条西６丁目４−１,南７条通北側
リブ,ホテルリブマックスBUDGET札幌駅前,札幌市北区北６条西７丁目５−７,北向き一通ファミマの奥
リブ,ホテルリブマックスPREMIUM札幌大通公園,札幌市中央区南２条西９丁目１−２０,南１条と南２条の中通
リブ,ホテルリブマックス札幌中島公園GRANDE,札幌市中央区南９条西３丁目１−２６,昔からあるところ
リリーフ,ホテルリリーフ札幌すすきの,札幌市中央区南８条西３丁目１−４,駅前通と北向１通のななめ中通南側
ルー,ホテルルートイン札幌駅前北口,札幌市北区北７条西４丁目２−２,
ルー,ホテルルートイン札幌中央,札幌市中央区南５条西５丁目13番1,南５条通
ルー,ホテルルートイン札幌白石,札幌市白石区北郷４条２丁目１−５,環状通沿
ルー,ホテルルートイン札幌北四条,札幌市中央区北４条西１３丁目１−５３,北５条通　南側
レジデンス|ストライプ,レジデンスホテルストライプ札幌,札幌市北区北７条西６丁目２−２７,北８条通　南側
レンブラント|Rembrandt,レンブラントスタイル札幌 / Rembrandt Style SAPPORO,札幌市中央区南７条西５丁目１−１,南７条通　セイコーマートの向かい側
ロー,ホテルローヤルスティ札幌,札幌市中央区南６条西８丁目2−１ ホテルローヤルステイ・サッポロ 1階,南６条通北側　7丁目と8丁目の間
ロン,ホテルロンシャン札幌,札幌市中央区南５条東１丁目１,創成川通東側
ワシ,ワシントンホテルプラザ,札幌市北区北６条西１丁目３−９,東横イン北口の隣
小樽,ホテル・トリフィート小樽運河,小樽市色内1丁目5-7,観光地近い
小樽,LifeHouse IPPO,小樽市色内1丁目7-7,宿泊特化型
小樽,Little Barrel,小樽市花園3丁目4-17,外国人利用あり
小樽,OMO5小樽 by 星野リゾート,小樽市色内1丁目6-31,観光向け
小樽,Tabist 海宝樓 小樽,小樽市東雲町1-19,小規模旅館
小樽,THE GREEN OTARU,小樽市稲穂3丁目5-14,旧ビジネスホテル系
小樽,UNWIND HOTEL & BAR 小樽,小樽市色内1丁目8-25,旧越中屋ホテル
小樽,ホテルいのう,小樽市最上2丁目16-22,小樽天狗山近く
小樽,オーセントホテル小樽,小樽市稲穂2丁目15-1,駅近
小樽,おたる宏楽園,小樽市新光5丁目18-2,庭園旅館
小樽,ホテルカルチャーヴィレッジ,小樽市塩谷1丁目27-12,郊外型
小樽,グランドパーク小樽,小樽市築港11-3,ウイングベイ小樽隣接
小樽,ゲストハウス小樽 和の風,小樽市花園4丁目14-15,ゲストハウス
小樽,ホテルソニア小樽,小樽市色内1丁目4-20,運河沿い
小樽,ホテルニューオータニイン札幌小樽,小樽市稲穂2丁目22-15,ビジネス利用多め
小樽,ホテルノルド小樽,小樽市色内1丁目4-16,運河前
小樽,運河の宿 おたるふる川,小樽市色内1丁目2-15,人気旅館
小樽,越中屋旅館,小樽市色内1丁目8-12,老舗旅館
小樽,小樽朝里クラッセホテル,小樽市朝里川温泉2丁目676,温泉リゾート
小樽,小樽旅亭 蔵群,小樽市朝里川温泉2丁目685,高級旅館
小樽,朝里川温泉ホテル,小樽市朝里川温泉2丁目670,温泉ホテル
小樽,天然温泉 灯の湯 ドーミーインPREMIUM小樽,小樽市稲穂3丁目9-1,小樽駅前
小樽,ホテル武蔵亭,小樽市朝里川温泉2丁目686,朝里川温泉
小樽,旅房はなえみ,小樽市朝里川温泉2丁目686-3,小規模温泉宿
小樽,料亭湯宿 銀鱗荘,小樽市桜1丁目1,老舗高級旅館
千歳,ANAクラウンプラザホテル千歳,千歳市北栄2丁目2-1,宴会利用多め
千歳,JRイン千歳,千歳市末広6丁目4-4,駅近
千歳,Minn千歳,千歳市柏台南2丁目1-1,新しめ宿泊施設
千歳,ホテルウィングインターナショナル千歳,千歳市千代田町2丁目2-10,空港アクセス良好
千歳,エアターミナルホテル,千歳市美々 新千歳空港内,空港直結
千歳,ホテルエリアワン千歳,千歳市幸町6丁目1,駅近
千歳,クイーンズホテル千歳,千歳市幸町5丁目6-1,比較的新しい
千歳,ホテルグランテラス千歳,千歳市本町4丁目4-4,駐車場広め
千歳,しこつ湖鶴雅リゾートスパ水の謌,千歳市支笏湖温泉,支笏湖温泉
千歳,しこつ湖鶴雅別荘 碧の座,千歳市支笏湖温泉,超高級旅館
千歳,スマイルホテル千歳,千歳市錦町1丁目11-1,ビジネス利用多め
千歳,ホテルニドム＆クラシックゴルフコース,苫小牧市植苗430,空港圏リゾート
千歳,ピエス千歳 S1,千歳市清水町1丁目7-1,長期滞在向け
千歳,フェアフィールド・バイ・マリオット北海道えにわ,恵庭市南島松828-9,千歳空港圏
千歳,ベストウェスタンプラスホテルフィーノ千歳,千歳市千代田町3丁目13,外国人利用あり
千歳,ポルトムインターナショナル北海道,千歳市美々 新千歳空港国際線ターミナル,高級ホテル
千歳,ホテルルートイン千歳駅前,千歳市千代田町5丁目3-1,大浴場有
千歳,レイクサイドヴィラ翠明閣,千歳市支笏湖温泉,支笏湖畔
千歳,丸駒温泉旅館,千歳市幌美内7,湖畔温泉旅館
千歳,休暇村支笏湖,千歳市支笏湖温泉,自然系宿泊施設
千歳,支笏湖第一寶亭留 翠山亭,千歳市支笏湖温泉,高級温泉旅館
千歳,翠山亭倶楽部定山渓,札幌市南区定山渓温泉西2丁目10,※誤登録注意用確認
千歳,千歳エアポートホテル,千歳市千代田町6丁目1,千歳駅前
千歳,千歳ステーションホテル,千歳市千代田町7丁目1789-3,JR千歳駅直結
千歳,旅の我が家 佐竹旅館,千歳市清水町2丁目,老舗旅館
定山渓,SAKURA 定山渓 膳,札幌市南区定山渓温泉西,貸別荘タイプ
定山渓,エクスクラメーションホテル,札幌市南区定山渓温泉西1丁目,旧休日ビルヂング
定山渓,エグゼクティブスイート翠嶺,札幌市南区定山渓温泉東2丁目111-3,定山渓ビューホテル内高級棟
